League,Team,Player,Nation,Age,MatchesPlayed,MinutesPlayed,GoalAgainstPer90,Saves,Save%,CleanSheet,CleanSheet%,Season
GER-Bundesliga,Mainz 05,Robin Zentner,GER,30-203,32,2880,1.28,100,73.9,9,28.1,2425
ITA-Serie A,Atalanta,Rui Patrício,POR,37-093,3,270,1.0,11,78.6,1,33.3,2425
ESP-La Liga,Betis,Rui Silva,POR,31-101,15,1350,1.2,37,72.2,4,26.7,2425
FRA-Ligue 1,Lyon,Rémy Descamps,FRA,28-328,1,90,2.0,4,66.7,0,0.0,2425
ENG-Premier League,Wolves,Sam Johnstone,ENG,32-055,7,630,2.43,23,61.5,0,0.0,2425
ITA-Serie A,Monza,Semuel Pizzignacco,ITA,23-260,8,654,2.06,18,53.1,1,14.3,2425
ESP-La Liga,Osasuna,Sergio Herrera,ESP,31-348,36,3240,1.42,127,74.6,8,22.2,2425
ITA-Serie A,Hellas Verona,Simone Perilli,ITA,30-132,1,90,1.0,5,83.3,0,0.0,2425
ITA-Serie A,Napoli,Simone Scuffet,ITA,28-353,1,90,1.0,3,75.0,0,0.0,2425
ITA-Serie A,Cagliari,Simone Scuffet,ITA,28-353,13,1170,1.77,33,67.9,1,7.7,2425
ENG-Premier League,Manchester City,Stefan Ortega,GER,32-194,13,1100,1.47,33,68.0,3,25.0,2425
ITA-Serie A,Monza,Stefano Turati,ITA,23-256,30,2676,1.75,93,65.5,2,6.7,2425
FRA-Ligue 1,Rennes,Steve Mandanda,FRA,40-052,18,1486,1.39,29,58.8,6,35.3,2425
ESP-La Liga,Valencia,Stole Dimitrievski,MKD,31-145,4,360,1.5,6,58.3,0,0.0,2425
